,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
10,25730.21244038978,19413.98168400321,85665.56665980528,51754.7726924105,73942.07869361472,45344.22001083257,18156.40274431336,23293.9083509481,38290.97236574149,109445.1552774865,96586.02743195502,54395.85169688055,48157.46002866307,41552.06681261642,132520.3475283093,67540.98097204558,48935.50166814143,39750.1784649012,93598.43864950008,39391.31861778862,6944.796604720527,27375.43447933088,75247.51270364795,40522.30238645336,45010.27906836737,2719.256098467597,46352.7133407678,27282.59109644749,14348.15973033492,20817.31823087368,58302.45804107025
11,26029.03605920651,19566.78324976461,89590.47121059173,50611.60145645003,75281.77534426587,45058.4584862552,18556.24226737935,24416.11312402375,39170.36993027494,110208.9778290947,95850.73079569361,54556.36228591031,49968.6305483156,39542.44495882608,130543.8990157467,68710.74754050269,50073.39745341345,44308.78683469081,103328.1864563272,41568.75768248311,6882.664478087654,28615.54366906796,82537.17329314924,38776.51662735702,43333.11521223406,2762.929960042442,46724.37786531437,27537.05015837213,14364.74199016798,20892.77575508369,58149.49831729461
12,25738.34142050388,19160.26921807815,82367.61485919777,50612.0310131126,74189.61072901677,44316.49692171296,17829.55864996115,22971.46441125662,38583.76472023252,105859.9297121162,91425.74302432826,49063.29153169211,46298.78616587079,37831.43568668504,121280.7428343121,74157.77889649097,48726.47398063727,41208.90141159658,108067.9426627052,41603.35443752871,6605.237928834029,28648.33046068915,77716.49353710025,36825.1413098951,38720.07049357999,2717.273512911158,46180.22316167696,27174.24345787857,14968.22797983316,21199.05276201565,58183.12175582772
13,25438.56760304658,18602.83495402515,71704.78513528786,48274.84796659813,73455.07964598504,43970.78768876203,17936.10090407397,22001.04077466851,38532.18819281967,110435.2907854867,87680.84543316347,47723.32736835812,43880.67912565433,36712.06528432271,122607.6020993644,71767.88946828652,50092.46104050244,36805.78792641415,110284.7254187124,39745.56204177696,6674.795930677311,27171.05329818284,75388.96773452264,36376.29159956357,38173.59116263438,2508.808469265224,45871.67620052094,26997.57861979149,15277.94990295027,20894.54314221716,57507.5039187617
14,24995.60976335159,18449.18540189631,74722.06218046122,47281.94869681706,73707.51039969988,43627.26419987988,17330.94914419561,22143.86724452808,37891.80862484649,110833.0687803915,83312.26608236725,48473.79552566688,44415.11934270017,33453.675171934,127918.0874212886,67857.86704690894,50149.78781367785,35921.64408890581,115176.2088990449,40110.0486331572,6883.140160308863,26905.99755709173,76571.34107340919,36562.49948333822,38143.36240148819,2484.115000516103,46485.6112213935,26848.79735383756,15392.68212564951,20894.38380092039,57171.29864248382
15,24704.13747225617,18413.07722421971,78370.65535050313,46744.15752347088,74060.43990031033,43736.51196751316,17828.59744666376,22645.156623666,37011.02409988492,112496.1360046571,82500.491526653,50776.31885421127,44372.22719002044,33020.83906800561,133884.4616075431,67609.77646966063,51975.25270930182,35037.25259415538,112806.6434206679,41568.00016001549,6946.592271233796,25892.30329529735,77627.10226285098,37106.3252726317,39814.17293767721,2432.368666714031,47747.78977290623,26418.11726999912,15316.22710682306,21351.86349912138,57387.60909358664
16,25439.28481693599,18878.20982004924,82454.80739360444,47774.45519550266,74344.8797598081,44812.1234391949,18687.50149428458,24019.57112578782,37136.11991681912,116709.3702297441,87733.72421832135,54394.64576145288,45708.52412317834,36619.3675595922,135146.0953094068,64768.23641629065,52744.67091301524,37392.95866393644,115176.854368782,41942.35564413128,7006.971999697868,27246.90011871379,78700.79202221606,39929.92990422615,43094.98499117537,2484.702066803921,48914.8117374163,28234.64904378341,15290.41958282441,22181.44007618624,56583.9504230855
17,26296.7169173346,19456.1706420218,89365.01622364271,51123.36882323231,76013.28047289315,46566.29356320637,19510.82606208798,26845.88072761397,39148.54981810757,123105.9433572655,92899.86912780881,57165.58847164832,49052.1160543623,42622.42809801552,141045.654466986,67197.77807953821,55755.40231055026,43903.7366078616,116262.0060650917,45564.21193866245,7458.594595113243,28908.50897953798,80843.82793706283,42519.30115834287,45552.29325782549,2567.493344337631,50429.89899269777,28708.32038146387,15621.13385939016,23256.1823679148,56550.39016892311
18,26929.61585039694,20180.42684476523,100649.7611792326,56409.97156678034,77065.89875546271,47871.39782694282,20286.27312345876,26189.26284989428,40802.63904117302,126967.6285468029,96584.34831616553,59143.03843965733,51505.03228033254,45494.45625269258,148291.3675181659,77923.12994093422,54975.94992854983,47527.51703226672,123471.4948026582,46667.82065463735,7644.24463533262,29840.06323471728,78832.19794044117,44520.69673459756,44225.42639140556,2649.357072038233,51514.96868507031,29037.10259181257,14993.94173074269,23107.65726924562,56922.65460847299
19,27209.97772556434,20514.8470398001,100201.1094364511,60431.67326238787,76778.43574202317,48485.32956399098,19936.32877487489,26160.84744673666,40675.99803981742,126261.7880798098,95164.84907140724,65271.85810548993,50416.28346993107,46349.14782845772,141183.8812008131,75578.20931527762,58095.82115272155,54487.03878524913,128212.3857645373,47766.36098606549,8159.364914841155,30668.21063859587,75512.72058746155,43125.12080201458,43628.93347606964,2675.756176725149,54354.77553663231,29008.28944742158,15729.32549368437,23545.57761809521,57898.19320858225
