Type,id,edges--edge--capital_recovery_period,edges--edge--unidirectional,edges--edge--commodity,edges--edge--lifetime,edges--edge--has_capacity,transforms--timedata,edges--edge--can_retire,edges--edge--can_expand,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--existing_capacity,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--capacity_size,edges--edge--end_vertex,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--constraints--CapacityConstraint,edges--edge--min_capacity,edges--edge--wacc
VRE,Region30Ningxia_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,15090,system/vre_availability_1.csv,Region30Ningxia_Wind_Onshore,200,elec_Region30Ningxia,0,58549.23691,true,0,0.017
VRE,Region31Xinjiang_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,47080,system/vre_availability_1.csv,Region31Xinjiang_Wind_Onshore,200,elec_Region31Xinjiang,0,58549.23691,true,0,0.017
VRE,Region1Beijing_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,1222,system/vre_availability_1.csv,Region1Beijing_PV_Distribution,200,elec_Region1Beijing,0,50742.67199,true,0,0.017
VRE,Region2Tianjin_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,3729,system/vre_availability_1.csv,Region2Tianjin_PV_Distribution,200,elec_Region2Tianjin,0,50742.67199,true,0,0.017
VRE,Region3Hebei_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,29083,system/vre_availability_1.csv,Region3Hebei_PV_Distribution,200,elec_Region3Hebei,0,50742.67199,true,0,0.017
VRE,Region4Shanxi_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,9759,system/vre_availability_1.csv,Region4Shanxi_PV_Distribution,200,elec_Region4Shanxi,0,50742.67199,true,0,0.017
VRE,Region5Innermongolia_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,3081,system/vre_availability_1.csv,Region5Innermongolia_PV_Distribution,200,elec_Region5Innermongolia,0,50742.67199,true,0,0.017
VRE,Region6Liaoning_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,6718,system/vre_availability_1.csv,Region6Liaoning_PV_Distribution,200,elec_Region6Liaoning,0,50742.67199,true,0,0.017
VRE,Region7Jilin_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,2010,system/vre_availability_1.csv,Region7Jilin_PV_Distribution,200,elec_Region7Jilin,0,50742.67199,true,0,0.017
VRE,Region8Heilongjiang_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,2459,system/vre_availability_1.csv,Region8Heilongjiang_PV_Distribution,200,elec_Region8Heilongjiang,0,50742.67199,true,0,0.017
VRE,Region9Shanghai_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,3716,system/vre_availability_1.csv,Region9Shanghai_PV_Distribution,200,elec_Region9Shanghai,0,50742.67199,true,0,0.017
VRE,Region10Jiangsu_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,45697,system/vre_availability_1.csv,Region10Jiangsu_PV_Distribution,200,elec_Region10Jiangsu,0,50742.67199,true,0,0.017
VRE,Region11Zhejiang_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,38936,system/vre_availability_1.csv,Region11Zhejiang_PV_Distribution,200,elec_Region11Zhejiang,0,50742.67199,true,0,0.017
VRE,Region12Anhui_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,28693,system/vre_availability_1.csv,Region12Anhui_PV_Distribution,200,elec_Region12Anhui,0,50742.67199,true,0,0.017
VRE,Region13Fujian_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,11818,system/vre_availability_1.csv,Region13Fujian_PV_Distribution,200,elec_Region13Fujian,0,50742.67199,true,0,0.017
VRE,Region14Jiangxi_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,11894,system/vre_availability_1.csv,Region14Jiangxi_PV_Distribution,200,elec_Region14Jiangxi,0,50742.67199,true,0,0.017
VRE,Region15Shandong_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,50206,system/vre_availability_1.csv,Region15Shandong_PV_Distribution,200,elec_Region15Shandong,0,50742.67199,true,0,0.017
VRE,Region16Henan_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,37191,system/vre_availability_1.csv,Region16Henan_PV_Distribution,200,elec_Region16Henan,0,50742.67199,true,0,0.017
VRE,Region17Hubei_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,13621,system/vre_availability_1.csv,Region17Hubei_PV_Distribution,200,elec_Region17Hubei,0,50742.67199,true,0,0.017
VRE,Region18Hunan_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,13873,system/vre_availability_1.csv,Region18Hunan_PV_Distribution,200,elec_Region18Hunan,0,50742.67199,true,0,0.017
VRE,Region19Guangdong_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,27423,system/vre_availability_1.csv,Region19Guangdong_PV_Distribution,200,elec_Region19Guangdong,0,50742.67199,true,0,0.017
VRE,Region20Guangxi_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,9637,system/vre_availability_1.csv,Region20Guangxi_PV_Distribution,200,elec_Region20Guangxi,0,50742.67199,true,0,0.017
VRE,Region21Hainan_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,2684,system/vre_availability_1.csv,Region21Hainan_PV_Distribution,200,elec_Region21Hainan,0,50742.67199,true,0,0.017
VRE,Region22Chongqing_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,2026,system/vre_availability_1.csv,Region22Chongqing_PV_Distribution,200,elec_Region22Chongqing,0,50742.67199,true,0,0.017
VRE,Region23Sichuan_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,1930,system/vre_availability_1.csv,Region23Sichuan_PV_Distribution,200,elec_Region23Sichuan,0,50742.67199,true,0,0.017
VRE,Region24Guizhou_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,1096,system/vre_availability_1.csv,Region24Guizhou_PV_Distribution,200,elec_Region24Guizhou,0,50742.67199,true,0,0.017
VRE,Region25Yunnan_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,2899,system/vre_availability_1.csv,Region25Yunnan_PV_Distribution,200,elec_Region25Yunnan,0,50742.67199,true,0,0.017
VRE,Region26Tibet_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,55,system/vre_availability_1.csv,Region26Tibet_PV_Distribution,200,elec_Region26Tibet,0,50742.67199,true,0,0.017
VRE,Region27Shaanxi_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,9091,system/vre_availability_1.csv,Region27Shaanxi_PV_Distribution,200,elec_Region27Shaanxi,0,50742.67199,true,0,0.017
VRE,Region28Gansu_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,1839,system/vre_availability_1.csv,Region28Gansu_PV_Distribution,200,elec_Region28Gansu,0,50742.67199,true,0,0.017
VRE,Region29Qinghai_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,378,system/vre_availability_1.csv,Region29Qinghai_PV_Distribution,200,elec_Region29Qinghai,0,50742.67199,true,0,0.017
VRE,Region30Ningxia_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,1747,system/vre_availability_1.csv,Region30Ningxia_PV_Distribution,200,elec_Region30Ningxia,0,50742.67199,true,0,0.017
VRE,Region31Xinjiang_PV_Distribution,20,true,Electricity,20,true,Electricity,true,true,-1,8750.0,268,system/vre_availability_1.csv,Region31Xinjiang_PV_Distribution,200,elec_Region31Xinjiang,0,50742.67199,true,0,0.017
VRE,Region1Beijing_Wind_Offshore,20,true,Electricity,20,true,Electricity,true,true,-1,60346.66667,0,system/vre_availability_1.csv,Region1Beijing_Wind_Offshore,200,elec_Region1Beijing,0,137135.3238,true,0,0.017
VRE,Region2Tianjin_Wind_Offshore,20,true,Electricity,20,true,Electricity,true,true,-1,60346.66667,117,system/vre_availability_1.csv,Region2Tianjin_Wind_Offshore,200,elec_Region2Tianjin,0,137135.3238,true,0,0.017
VRE,Region3Hebei_Wind_Offshore,20,true,Electricity,20,true,Electricity,true,true,-1,60346.66667,300,system/vre_availability_1.csv,Region3Hebei_Wind_Offshore,200,elec_Region3Hebei,0,137135.3238,true,0,0.017
VRE,Region4Shanxi_Wind_Offshore,20,true,Electricity,20,true,Electricity,true,true,-1,60346.66667,0,system/vre_availability_1.csv,Region4Shanxi_Wind_Offshore,200,elec_Region4Shanxi,0,137135.3238,true,0,0.017
VRE,Region5Innermongolia_Wind_Offshore,20,true,Electricity,20,true,Electricity,true,true,-1,60346.66667,0,system/vre_availability_1.csv,Region5Innermongolia_Wind_Offshore,200,elec_Region5Innermongolia,0,137135.3238,true,0,0.017
VRE,Region6Liaoning_Wind_Offshore,20,true,Electricity,20,true,Electricity,true,true,-1,60346.66667,1053,system/vre_availability_1.csv,Region6Liaoning_Wind_Offshore,200,elec_Region6Liaoning,0,137135.3238,true,0,0.017
VRE,Region7Jilin_Wind_Offshore,20,true,Electricity,20,true,Electricity,true,true,-1,60346.66667,0,system/vre_availability_1.csv,Region7Jilin_Wind_Offshore,200,elec_Region7Jilin,0,137135.3238,true,0,0.017
VRE,Region8Heilongjiang_Wind_Offshore,20,true,Electricity,20,true,Electricity,true,true,-1,60346.66667,0,system/vre_availability_1.csv,Region8Heilongjiang_Wind_Offshore,200,elec_Region8Heilongjiang,0,137135.3238,true,0,0.017
VRE,Region9Shanghai_Wind_Offshore,20,true,Electricity,20,true,Electricity,true,true,-1,60346.66667,669,system/vre_availability_1.csv,Region9Shanghai_Wind_Offshore,200,elec_Region9Shanghai,0,137135.3238,true,0,0.017
VRE,Region10Jiangsu_Wind_Offshore,20,true,Electricity,20,true,Electricity,true,true,-1,60346.66667,11805,system/vre_availability_1.csv,Region10Jiangsu_Wind_Offshore,200,elec_Region10Jiangsu,0,137135.3238,true,0,0.017
