Type,id,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--unidirectional,edges--transmission_edge--commodity,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--has_capacity,edges--transmission_edge--max_capacity,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxNewCapacityConstraint,edges--transmission_edge--can_retire,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_new_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--start_vertex,edges--transmission_edge--can_expand,edges--transmission_edge--end_vertex
TransmissionLink,Line127CandidateAC_Region3Hebei_to_Region2Tianjin,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,8869.796104,elec_Region3Hebei,true,elec_Region2Tianjin
TransmissionLink,Line128CandidateAC_Region2Tianjin_to_Region15Shandong,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,10345.73495,elec_Region2Tianjin,true,elec_Region15Shandong
TransmissionLink,Line129CandidateAC_Region5Innermongolia_to_Region4Shanxi,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,9084.478117,elec_Region5Innermongolia,true,elec_Region4Shanxi
TransmissionLink,Line130CandidateAC_Region4Shanxi_to_Region3Hebei,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,9983.459049,elec_Region4Shanxi,true,elec_Region3Hebei
TransmissionLink,Line131CandidateAC_Region3Hebei_to_Region2Tianjin,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,8923.466607,elec_Region3Hebei,true,elec_Region2Tianjin
TransmissionLink,Line132CandidateAC_Region27Shaanxi_to_Region4Shanxi,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,10305.48207,elec_Region27Shaanxi,true,elec_Region4Shanxi
TransmissionLink,Line133CandidateAC_Region4Shanxi_to_Region3Hebei,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,10077.38243,elec_Region4Shanxi,true,elec_Region3Hebei
TransmissionLink,Line134CandidateAC_Region3Hebei_to_Region15Shandong,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,13541.81342,elec_Region3Hebei,true,elec_Region15Shandong
TransmissionLink,Line135CandidateAC_Region1Beijing_to_Region3Hebei,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,9674.853654,elec_Region1Beijing,true,elec_Region3Hebei
TransmissionLink,Line136CandidateAC_Region3Hebei_to_Region1Beijing,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,10842.1871,elec_Region3Hebei,true,elec_Region1Beijing
TransmissionLink,Line137CandidateAC_Region15Shandong_to_Region3Hebei,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,17666.3916,elec_Region15Shandong,true,elec_Region3Hebei
TransmissionLink,Line138CandidateAC_Region5Innermongolia_to_Region4Shanxi,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,10748.26372,elec_Region5Innermongolia,true,elec_Region4Shanxi
TransmissionLink,Line139ExistingDC_Region17Hubei_to_Region10Jiangsu,100,false,Electricity,0.062,100,true,3000,true,true,true,false,0.075,0,3000,14781.90643,elec_Region17Hubei,false,elec_Region10Jiangsu
TransmissionLink,Line140ExistingDC_Region17Hubei_to_Region9Shanghai,100,false,Electricity,0.062,100,true,1200,true,true,true,false,0.075,0,1200,32545.11925,elec_Region17Hubei,false,elec_Region9Shanghai
TransmissionLink,Line141ExistingDC_Region17Hubei_to_Region9Shanghai,100,false,Electricity,0.062,100,true,3016,true,true,true,false,0.075,0,3016,19517.24461,elec_Region17Hubei,false,elec_Region9Shanghai
TransmissionLink,Line142ExistingDC_Region17Hubei_to_Region9Shanghai,100,false,Electricity,0.062,100,true,3007,true,true,true,false,0.075,0,3007,20439.88792,elec_Region17Hubei,false,elec_Region9Shanghai
TransmissionLink,Line143ExistingDC_Region17Hubei_to_Region19Guangdong,100,false,Electricity,0.062,100,true,3000,true,true,true,false,0.0765,0,3000,21589.1774,elec_Region17Hubei,false,elec_Region19Guangdong
TransmissionLink,Line144ExistingDC_Region5Innermongolia_to_Region6Liaoning,100,false,Electricity,0.062,100,true,3000,true,true,true,false,0.0412,0,3000,19001.15963,elec_Region5Innermongolia,false,elec_Region6Liaoning
TransmissionLink,Line145ExistingDC_Region29Qinghai_to_Region26Tibet,100,false,Electricity,0.062,100,true,600,true,true,true,false,0.137,0,600,52582.65071,elec_Region29Qinghai,false,elec_Region26Tibet
TransmissionLink,Line146ExistingDC_Region23Sichuan_to_Region10Jiangsu,100,false,Electricity,0.062,100,true,7200,true,true,true,false,0.07,0,7200,26496.51099,elec_Region23Sichuan,false,elec_Region10Jiangsu
TransmissionLink,Line147ExistingDC_Region23Sichuan_to_Region9Shanghai,100,false,Electricity,0.062,100,true,6400,true,true,true,false,0.07,0,6400,26796.72478,elec_Region23Sichuan,false,elec_Region9Shanghai
TransmissionLink,Line148ExistingDC_Region23Sichuan_to_Region11Zhejiang,100,false,Electricity,0.062,100,true,7500,true,true,true,false,0.065,0,7500,23270.51773,elec_Region23Sichuan,false,elec_Region11Zhejiang
TransmissionLink,Line149ExistingDC_Region27Shaanxi_to_Region16Henan,100,false,Electricity,0.062,100,true,390,true,true,true,false,0.01,0,390,4961.726222,elec_Region27Shaanxi,false,elec_Region16Henan
TransmissionLink,Line150ExistingDC_Region23Sichuan_to_Region27Shaanxi,100,false,Electricity,0.062,100,true,3000,true,true,true,false,0.03,0,3000,16068.07283,elec_Region23Sichuan,false,elec_Region27Shaanxi
TransmissionLink,Line151ExistingDC_Region3Hebei_to_Region6Liaoning,100,false,Electricity,0.062,100,true,300,true,true,true,false,0.017,0,300,4961.726222,elec_Region3Hebei,false,elec_Region6Liaoning
TransmissionLink,Line152ExistingDC_Region31Xinjiang_to_Region16Henan,100,false,Electricity,0.062,100,true,8000,true,true,true,false,0.072,0,8000,25654.91991,elec_Region31Xinjiang,false,elec_Region16Henan
