Province,Region,Period,Year,WeightSource,ScrapMid_Mton_per_year,Weight_ScrapShareInput,WeightShare,MaxSupply_ton_per_h,ImpliedTotal_288h_tons
Zhejiang,Region11Zhejiang,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.32423125,0.05561240996559888,180.83987101380967,52081.882851977185
TOTAL,,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,23.811794001,1.0,3251.7898635515867,936515.480702857
Beijing,Region1Beijing,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.02864176,0.0012028392316344228,4.852475370136352,1397.5129065992694
Tianjin,Region2Tianjin,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.055062619,0.0023124095142805115,9.328686593027173,2686.661738791826
Anhui,Region12Anhui,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.417408174,0.059525467671208414,240.13671833591724,69159.37488074416
Shanghai,Region9Shanghai,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.039821138,0.001672328342766936,6.746481059676526,1942.9865451868395
Chongqing,Region22Chongqing,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.651578201,0.02736367536913163,110.39011471607378,31792.35303822925
Fujian,Region13Fujian,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.970585629,0.04076070996411439,164.43622386790474,47357.63247395657
Gansu,Region28Gansu,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.471244322,0.01979037455053616,79.83802202873024,22993.35034427431
Guangdong,Region19Guangdong,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.714234545,0.07199098669037743,290.424921801223,83642.37747875221
Guangxi,Region20Guangxi,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.2117178,0.05088729559600225,205.2887385431554,59123.15670042876
Guizhou,Region24Guizhou,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.08119526,0.04540587155905155,183.1756627196852,52754.59086326933
Hainan,Region21Hainan,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.183679462,0.007713801908091687,31.118900003173547,8962.243200913981
Hebei,Region3Hebei,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.184679495,0.04975179505375564,200.70791986920747,57803.88092233175
Heilongjiang,Region8Heilongjiang,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.24072257,0.01010938403002691,40.78312023984992,11745.538629076778
Henan,Region16Henan,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.175605239,0.0493707126372179,199.17056309566033,57361.122171550174
Hubei,Region17Hubei,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.98158572,0.04122266973915436,166.29985482657344,47894.35819005315
Hunan,Region18Hunan,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.103137521,0.04632735865906083,186.89311168467907,53825.21616518757
InnerMongolia,Region5Innermongolia,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.360645336,0.015145660002973918,61.10038664853518,17596.91135477813
Jiangsu,Region10Jiangsu,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.525384735,0.06406005086957917,258.43006353553227,74427.85829823329
Jiangxi,Region14Jiangxi,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.001981322,0.042079203354351245,169.75526945067836,48889.51760179536
Jilin,Region7Jilin,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.223045524,0.009367018881090311,37.78828227138125,10883.0252941578
Liaoning,Region6Liaoning,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.543993633,0.022845554307128414,92.16318081163638,26542.996073751277
Ningxia,Region30Ningxia,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.197772756,0.008305663823216946,33.50658016036677,9649.895086185628
Qinghai,Region29Qinghai,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.122457143,0.005142709658703468,20.74663953279286,5975.032185444344
Shaanxi,Region27Shaanxi,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.680239034,0.028567315590393258,115.24582142613947,33190.79657072817
Shandong,Region15Shandong,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.595272753,0.06699506777746377,270.2704632181162,77837.89340681747
Shanxi,Region4Shanxi,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.561042515,0.023561539083381895,95.05159548983215,27374.85950107166
Sichuan,Region23Sichuan,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.450296251,0.06090663521358757,245.7086030110785,70764.0776671906
Tibet,Region26Tibet,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.0,0.0,0.0,0.0
Xinjiang,Region31Xinjiang,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,0.402716599,0.0169124845857094,68.2280829736922,19649.68789642335
Yunnan,Region25Yunnan,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.311815695,0.05509100637041077,222.2472833424273,64007.21760261906
