MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,ME_solar_pv,MA_onshore_wind
0.0,0.441652387,0.0,0.918765068,0.000000000,0.676074895
0.0,0.133826673,0.0,0.914151609,0.000000000,0.542625508
0.0,0.18830952,0.0,0.914121866,0.000000000,0.580104190
0.0,0.080651544,0.0,0.886783063,0.000000000,0.508667607
0.0,0.102896959,0.0,0.897890389,0.000000000,0.518816736
0.0,0.292079359,0.0,0.725169301,0.000000000,0.503383407
0.0,0.240472272,0.0,0.664602697,0.000000000,0.446216669
0.0,0.247440055,0.0,0.570896208,0.000000000,0.419111127
0.0,0.237611532,0.0,0.460848123,0.000000000,0.370858664
0.0,0.436896056,0.0,0.481707722,0.000000000,0.445386366
0.0,0.34168756,0.0,0.280787885,0.000000000,0.295783295
0.0,0.466558039,0.0,0.166776717,0.000000000,0.335382735
0.0,0.813244164,0.0,0.205677763,0.000000000,0.496647199
0.0,0.302878886,0.0,0.300532162,0.000000000,0.281823187
0.0041,0.373046428,0.0067,0.267592192,0.010412404,0.349609335
0.0805,0.228007585,0.1502,0.422922343,0.130962672,0.325775426
0.2869,0.705251694,0.4189,0.396006346,0.391351025,0.577055232
0.4127,0.98025769,0.4948,0.389075994,0.460167139,0.720345557
0.5241,1.0,0.5722,0.531895161,0.565283953,0.786347614
0.5732,1.0,0.5483,0.695458591,0.590680859,0.881264405
0.4743,1.0,0.4087,0.841732681,0.482333694,0.950665071
0.305,1.0,0.313,0.831212223,0.328407215,0.934481844
0.0978,1.0,0.1318,0.771754384,0.151598722,0.941637833
0.0,1.0,0.0,0.859164715,0.000000000,0.956105829
0.0,1.0,0.0,0.964129448,0.000000000,0.991554329
0.0,1.0,0.0,0.989314437,0.000000000,1.000000000
0.0,1.0,0.0,0.997104347,0.000000000,1.000000000
0.0,1.0,0.0,0.989203095,0.000000000,1.000000000
0.0,1.0,0.0,0.999962449,0.000000000,1.000000000
0.0,0.990385175,0.0,1.0,0.000000000,1.000000000
0.0,0.974543273,0.0,1.0,0.000000000,1.000000000
0.0,1.0,0.0,1.0,0.000000000,1.000000000
0.0,0.998923659,0.0,0.996925354,0.000000000,1.000000000
0.0,1.0,0.0,0.980939925,0.000000000,1.000000000
0.0,0.9999156,0.0,0.995903492,0.000000000,1.000000000
0.0,0.989916205,0.0,0.986650288,0.000000000,1.000000000
0.0,0.989458561,0.0,0.967746377,0.000000000,1.000000000
0.0,0.752799571,0.0,0.973660171,0.000000000,0.903116110
0.1892,0.907200992,0.164,0.986133695,0.200989445,0.954893480
0.3808,0.940828919,0.3817,0.990893126,0.398865046,1.000000000
0.5055,0.985960245,0.5261,0.950878024,0.552039813,0.984632076
0.6058,0.993910849,0.6015,0.955344141,0.634813336,0.966901090
0.6621,0.985459149,0.6392,0.987513661,0.678661205,0.992284671
0.6563,0.984604716,0.6448,0.975212336,0.706796195,1.000000000
0.5704,0.991283655,0.5771,0.957569599,0.624491308,0.952168581
0.4009,0.977170289,0.422,0.991573811,0.424458132,0.995814054
0.1757,0.987855911,0.2093,0.948312104,0.201868017,1.000000000
0.0,0.838460803,0.0,0.950389743,0.000000000,0.920284052
0.0,0.869346082,0.0,0.958247781,0.000000000,0.947517175
0.0,0.794923484,0.0,0.927831471,0.000000000,0.913756217
0.0,0.913891792,0.0,0.979082227,0.000000000,0.968246078
0.0,0.940207124,0.0,0.989470422,0.000000000,0.990191353
0.0,0.90137291,0.0,0.985802889,0.000000000,0.939526415
0.0,0.939054847,0.0,0.985857069,0.000000000,0.960191194
0.0,0.998811007,0.0,0.988991022,0.000000000,1.000000000
0.0,0.999851406,0.0,0.926579535,0.000000000,0.988002766
0.0,1.0,0.0,0.893211186,0.000000000,0.966019714
0.0,1.0,0.0,0.873010397,0.000000000,0.966268691
0.0,1.0,0.0,0.843749166,0.000000000,0.930452086
0.0,1.0,0.0,0.773206413,0.000000000,0.923525912
0.0,0.998225033,0.0,0.719817936,0.000000000,0.882570476
0.0,0.949328542,0.0,0.680471957,0.000000000,0.861283962
0.2406,0.994878829,0.2384,0.724686265,0.231586153,0.884181845
0.4691,0.993906379,0.4718,0.735474169,0.521989630,0.909119718
0.6312,0.911872685,0.6341,0.822281063,0.655904758,0.896866438
0.7083,0.806655169,0.7179,0.927098632,0.723655473,0.896009960
0.7193,0.99997896,0.7315,0.946814895,0.727723791,1.000000000
0.7062,0.946918428,0.7192,0.948075414,0.776704407,0.943986744
0.6127,0.998580515,0.6369,0.961242318,0.665634885,1.000000000
0.4407,0.999340951,0.4702,0.977752447,0.469605414,1.000000000
0.1983,1.0,0.2351,0.971139312,0.218301179,1.000000000
0.0,0.98964864,0.0,0.953722835,0.000000000,1.000000000
0.0,0.993235052,0.0,0.974653244,0.000000000,1.000000000
0.0,0.898518324,0.0,0.976738095,0.000000000,0.983282432
0.0,0.944250226,0.0,0.958328366,0.000000000,0.987498673
0.0,0.784093738,0.0,0.966344357,0.000000000,0.894389216
0.0,0.894709051,0.0,0.97134763,0.000000000,0.928494512
0.0,0.854348719,0.0,0.975006104,0.000000000,0.949200568
0.0,0.965387285,0.0,0.983192205,0.000000000,1.000000000
0.0,0.954362154,0.0,0.957826257,0.000000000,1.000000000
0.0,0.922331035,0.0,0.91556865,0.000000000,0.964321649
0.0,0.844062388,0.0,0.915687263,0.000000000,0.885226673
0.0,0.802231789,0.0,0.844007134,0.000000000,0.816556464
0.0,0.828511536,0.0,0.770301104,0.000000000,0.792673489
0.0,0.583996654,0.0,0.751060247,0.000000000,0.699471628
0.0,0.202603534,0.0,0.69873786,0.000000000,0.499558944
0.2391,0.058440641,0.2371,0.694000363,0.246721581,0.356563700
0.4586,0.001883788,0.4656,0.494121283,0.480689873,0.292309751
0.6179,0.003065184,0.6211,0.302468121,0.655320745,0.154711312
0.6974,0.071478568,0.6556,0.140806243,0.706489796,0.108338418
0.6672,0.195936367,0.6465,0.066042975,0.695864900,0.103767762
0.6136,0.439520001,0.6058,0.120706722,0.650515295,0.310846078
0.4943,0.688237429,0.435,0.394359469,0.503720944,0.511229657
0.2741,0.875738084,0.2901,0.722384691,0.293304710,0.812191376
0.0666,0.916852057,0.1376,0.802013457,0.094592794,0.859664895
0.0,1.0,0.0,0.928440034,0.000000000,0.984857312
0.0,1.0,0.0,0.980508447,0.000000000,1.000000000
0.0,0.981884241,0.0,1.0,0.000000000,1.000000000
0.0,0.482720077,0.0,0.211268544,0.000000000,0.358663486
0.0,0.994872808,0.0,0.981729686,0.000000000,1.000000000
0.0,0.993279934,0.0,0.914292037,0.000000000,0.977732304
0.0,0.962603092,0.0,0.918717086,0.000000000,0.970325044
0.0,0.851262867,0.0,0.840904474,0.000000000,0.871333254
0.0,0.733260453,0.0,0.942228436,0.000000000,0.877931363
0.0,0.889862716,0.0,0.971532941,0.000000000,0.961787497
0.0,0.981966197,0.0,0.94686377,0.000000000,0.959140395
0.0,0.963828266,0.0,0.830248654,0.000000000,0.939594870
0.0,0.802278817,0.0,0.735838115,0.000000000,0.763156474
0.0,0.617577553,0.0,0.598002791,0.000000000,0.601808068
0.0,0.460653722,0.0,0.578174472,0.000000000,0.534677068
0.063,0.38251406,0.0851,0.410699368,0.051233101,0.365767878
0.2298,0.3961761,0.3003,0.253641337,0.293836281,0.299066802
0.3955,0.371211141,0.4133,0.161515325,0.442614425,0.295123014
0.4576,0.407442391,0.3578,0.143813014,0.419321943,0.266678609
0.4251,0.229040965,0.355,0.095633775,0.421486230,0.167516166
0.397,0.238406986,0.307,0.072829321,0.387079815,0.167864077
0.2726,0.381467015,0.2953,0.078589194,0.295710555,0.237003180
0.148,0.481076956,0.1986,0.165635929,0.202181985,0.310271426
0.0133,0.554682076,0.0092,0.287639439,0.014403968,0.410492793
0.0,0.525467098,0.0,0.542099476,0.000000000,0.553941595
0.0,0.815117538,0.0,0.795086622,0.000000000,0.823695410
0.0,0.698978364,0.0,0.921057999,0.000000000,0.846317659
0.0,0.809930027,0.0,0.811082602,0.000000000,0.834443782
0.0,0.880454421,0.0,0.802461147,0.000000000,0.842532706
0.0,0.960390031,0.0,0.814354539,0.000000000,0.901821149
0.0,0.90731144,0.0,0.823664665,0.000000000,0.922896773
0.0,0.970664501,0.0,0.854990482,0.000000000,0.930777789
0.0,0.972734034,0.0,0.884801865,0.000000000,0.957980777
0.0,0.999877095,0.0,0.943833709,0.000000000,1.000000000
0.0,1.0,0.0,0.979152799,0.000000000,1.000000000
0.0,1.0,0.0,0.975944519,0.000000000,1.000000000
0.0,1.0,0.0,0.996503949,0.000000000,1.000000000
0.0,1.0,0.0,1.0,0.000000000,1.000000000
0.0,1.0,0.0,1.0,0.000000000,1.000000000
0.2194,0.999924064,0.1986,1.0,0.209484887,1.000000000
0.4257,0.998786271,0.4033,1.0,0.443507859,1.000000000
0.5872,1.0,0.5454,1.0,0.635251224,1.000000000
0.6481,1.0,0.5963,1.0,0.672151408,1.000000000
0.6592,1.0,0.6098,1.0,0.661610553,1.000000000
0.6547,1.0,0.6572,1.0,0.694900964,1.000000000
0.5823,1.0,0.6051,1.0,0.656671237,1.000000000
0.4386,1.0,0.4694,1.0,0.475542165,1.000000000
