ID,Cata,源,汇,NEWID,NO,Status,SY,YR,CA（MW）,UH（h）,SP（g/kWh）,CE（Mt/年）,TCE（Mt）,lat1,lng1,源lat,源lng,汇lat,汇lng,UT,是否热电联产,距离,最近埋存点,埋存点性质,总碳封存额（Mt）
5720,煤源,Y5720,,CSP5720,1,07 Pre-permit,2026,,660,5260,319,3.10083312,99.22665984,44.00783852,87.30540873,44.00783852,87.30540873,,,超超临界,常规煤电,102.9549006,CCS052,陆地埋存,31.4
5721,煤源,Y5721,,CSP5721,1,07 Pre-permit,2025,,36,5066,315,0.160855632,4.986524592,42.959421,122.3593,42.959421,122.3593,,,亚临界,热电联产,127.9104548,CCS103,陆地埋存,25.93
5722,煤源,Y5722,,CSP5722,1,07 Pre-permit,2025,,36,5066,315,0.160855632,4.986524592,42.959421,122.3593,42.959421,122.3593,,,亚临界,热电联产,127.9104548,CCS103,陆地埋存,25.93
5723,煤源,Y5723,,CSP5723,1,07 Pre-permit,2025,,660,4377,290,2.34572184,72.71737704,37.29428,122.078367,37.29428,122.078367,,,超超临界,热电联产,163.7910151,CCS117,陆地埋存,21.41
5724,煤源,Y5724,,CSP5724,1,07 Pre-permit,2025,,660,4377,290,2.34572184,72.71737704,37.29428,122.078367,37.29428,122.078367,,,超超临界,热电联产,163.7910151,CCS117,陆地埋存,21.41
5725,煤源,Y5725,,CSP5725,1,07 Pre-permit,2025,,350,5260,302.7,1.56035796,48.37109676,43.95077,81.047,43.95077,81.047,,,超临界,热电联产,293.8615591,CCS126,陆地埋存,16.28
5726,煤源,Y5726,,CSP5726,1,07 Pre-permit,2025,,350,5260,302.7,1.56035796,48.37109676,43.95077,81.047,43.95077,81.047,,,超临界,热电联产,293.8615591,CCS126,陆地埋存,16.28
5727,煤源,Y5727,,CSP5727,1,07 Pre-permit,2025,,15,4577,315,0.06055371,1.87716501,33.683412,117.242955,33.683412,117.242955,,,亚临界,热电联产,190.9252276,CCS007,陆地埋存,178000
5728,煤源,Y5728,,CSP5728,1,07 Pre-permit,2025,,50,4377,320,0.1960896,6.0787776,36.946768,120.664298,36.946768,120.664298,,,循环流化床,热电联产,89.21702126,CCS117,陆地埋存,21.41
5729,煤源,Y5729,,CSP5729,1,07 Pre-permit,2025,,100,5066,313,0.44398424,13.76351144,39.562666,109.715219,39.562666,109.715219,,,亚临界,热电联产,36.90477397,CCS071,陆地埋存,0.3
5730,煤源,Y5730,,CSP5730,1,07 Pre-permit,2025,,100,5066,313,0.44398424,13.76351144,39.562666,109.715219,39.562666,109.715219,,,亚临界,热电联产,36.90477397,CCS071,陆地埋存,0.3
5731,煤源,Y5731,,CSP5731,1,07 Pre-permit,2025,,100,5066,313,0.44398424,13.76351144,39.562666,109.715219,39.562666,109.715219,,,亚临界,热电联产,36.90477397,CCS071,陆地埋存,0.3
5732,煤源,Y5732,,CSP5732,1,07 Pre-permit,2025,,100,5066,313,0.44398424,13.76351144,39.562666,109.715219,39.562666,109.715219,,,亚临界,热电联产,36.90477397,CCS071,陆地埋存,0.3
5733,煤源,Y5733,,CSP5733,1,07 Pre-permit,2022,,660,5260,302.7,2.942389296,82.38690029,42.754903,93.483749,42.754903,93.483749,,,超临界,热电联产,146.8680138,CCS092,陆地埋存,42.66
